,Date,Type,Title,Amount,Note,Category,Subcategory,Account,Tags
2634,29-06-2022,1,,80.49,,Koszule,Odzie�,Konto osobiste,
2635,29-06-2022,1,,99.99,,Koszule,Odzie�,Konto osobiste,
2636,29-06-2022,1,,49.99,,Spodnie,Odzie�,Konto osobiste,
2637,29-06-2022,1,,99.99,,Spodnie,Odzie�,Konto osobiste,
2638,29-06-2022,1,,89.98,,Koszulki,Odzie�,Konto osobiste,
2639,29-06-2022,1,,14.88,,Zdrowie i uroda,,Konto osobiste,
2640,30-06-2022,1,,19.5,,Jedzenie,,Konto osobiste,
2641,30-06-2022,1,,36.38,,Jedzenie,,Konto osobiste,
2642,30-06-2022,1,,58.99,,Alkohol,Jedzenie,Konto osobiste,
2643,30-06-2022,1,,110.38,,Telefony,Rodzice,Konto osobiste,
2644,01-07-2022,1,,23.0,,Jedzenie,,Konto osobiste,
2645,02-07-2022,0,,200.0,,Rodzice,,Konto osobiste,
2646,02-07-2022,1,,180.0,,Prezenty,,Konto osobiste,
2647,03-07-2022,1,,166.28,,Paliwo,Samoch�d,Konto osobiste,
2648,03-07-2022,0,,100.0,,Po�yczone,D�ugi,Konto osobiste,
2649,03-07-2022,1,Disney +,28.99,,"Netflix, itp.",Rozrywka,Konto osobiste,
2650,03-07-2022,0,,211.47,,Oszcz�dno�ci,,Konto oszcz�dno�ciowe ,
2651,03-07-2022,1,,211.47,,Oszcz�dno�ci,,Konto osobiste,
2652,04-07-2022,1,,6.5,,Jedzenie,,Konto osobiste,
2653,04-07-2022,1,,100.0,,Prezenty,,Konto osobiste,
2654,04-07-2022,1,,7.5,,Jedzenie,,Konto osobiste,
2655,05-07-2022,1,,700.0,,Czynsz,Dom,Konto osobiste,
2656,05-07-2022,1,,145.0,,Restauracja,Jedzenie,Konto osobiste,
2657,06-07-2022,1,,46.47,,Jedzenie,,Konto osobiste,
2658,07-07-2022,1,,32.0,,Restauracja,Jedzenie,Konto osobiste,
2659,07-07-2022,1,,1497.99,,Komputer,Elektronika,Konto osobiste,
2660,08-07-2022,1,,71.0,,Telefony,Rodzice,Konto osobiste,
2661,09-07-2022,1,,18.71,,Jedzenie,,Konto osobiste,
2662,09-07-2022,1,,97.13,,Jedzenie,,Konto osobiste,
2663,10-07-2022,1,,8.9,,Jedzenie,,Konto osobiste,
2664,10-07-2022,1,,100.0,,Odda�,D�ugi,Konto osobiste,
2665,10-07-2022,1,,53.99,,Zdrowie i uroda,,Konto osobiste,
2666,11-07-2022,1,Game pass,54.99,,Gry,Rozrywka,Konto osobiste,
2667,12-07-2022,1,,45.93,,Jedzenie,,Konto osobiste,
2668,13-07-2022,1,,8.0,,Samoch�d,,Konto osobiste,
2669,13-07-2022,1,,7.5,,Restauracja,Jedzenie,Konto osobiste,
2670,13-07-2022,1,,44.01,,Jedzenie,,Konto osobiste,
2671,13-07-2022,1,,8.06,,Jedzenie,,Konto osobiste,
2672,14-07-2022,1,,15.79,,Jedzenie,,Konto osobiste,
2673,15-07-2022,1,,33.63,,Jedzenie,,Konto osobiste,
